CHRKINGDOMCODE,CHRRANKCODE,VCHRVALIDCHILDLIST,VCHRVALIDENDINGLIST,GUID
F    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,489B678D-A17F-41A6-B595-993370D6E231
F    ,SBD                 ,"'SPC','C'", ,22649496-AAE3-4F4F-8C2C-AB669BF7762F
F    ,SBO                 ,"'F','INO','SPF'", ,7E6C01B6-FB24-46D1-882F-F8E10DEC2A51
F    ,SBP                 ,"'SPC','C','F','O'",,7CE88F51-E260-4A8E-96B3-FF8C730C90D5
F    ,SBT                 ,'G', ,47109516-D06E-4605-8824-28816A803A40
F    ,SCT                 ,"'SSCT','SRS','SP'", ,D42CDFC1-DBAF-4C21-BDC6-1832262E34C6
F    ,SF                  ,"'ST','T','G'", ,B003BF0B-2899-4902-884D-5B90D31A0183
F    ,SFM                 , , ,527360CD-0B5B-4C47-89E2-6336045D838C
F    ,SG                  ,"'SCT','SGP','SP'", ,0F1107BD-117C-45D1-97E9-589FEB68FFFF
F    ,SGP                 ,'SP', ,636C1BA5-0F23-4DB3-A178-A47ABA42B0D6
F    ,SKING               ,'P', ,B2E87DF4-79FC-429A-9013-38D669B1E52D
F    ,SP                  ,"'SSP','V','F'", ,2A04B13A-4318-482F-822B-DCDA00BB8DC9
F    ,SPC                 ,"'C','F','O'", ,12C6D6B6-0004-42E4-A3F5-BF7F59ABF127
F    ,SPF                 ,'F', ,CC8506CF-1773-4EA2-8F90-E1E78115BBEA
F    ,SPO                 ,"'O','F'", ,F2F42945-AE21-40A9-A90A-9418E508E6C5
F    ,SRS                 ,"'SSRS','SPG','SP'", ,EBAF7191-5EFE-4327-905F-A748FAB3DE59
F    ,SSCT                ,"'SRS','SPG','SP'", ,DBD3F999-EA31-483B-97F4-B35FBED659E7
F    ,SSP                 ,"'V','FM'", ,BD804430-E1C1-4A18-BB3C-AE52264CE80A
B    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,858005E2-A5E1-4A52-B839-EDE7E11D2C81
B    ,CHRT                ,"'SPO','O','F'", ,F060D67A-D1EC-40AA-AC48-A2458AFE99CF
B    ,F                   ,"'SF','G'",idae,677D3824-B018-4BD4-84DB-2DBA775E963B
B    ,G                   ,"'SG','SGP','SP'", ,659EDC9B-6FC4-4FBF-A3E3-9268FD5441EB
B    ,HO                  ,'F', ,5E8F2315-490D-4C07-8946-FFEF387D1A3B
B    ,INC                 ,"'CHRT','SPO','O','F'", ,1B6BFF75-DD3B-4287-810F-91999F479ADC
B    ,INO                 ,"'F','SPF'", ,2D021AB8-0B2C-465D-A10E-91F92C8D71DB
B    ,KING                ,"'SKING','P'", ,BFB781C9-E567-47CC-A095-34404ADCC386
B    ,O                   ,"'F','SBO','SPF'", ,2E0CEFAC-64AF-4CC0-A27D-50B432374106
B    ,P                   ,"'SBP','SPC','C','F','O'", ,65522024-E34E-4066-98F2-A47E11CB17BA
B    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,127142BC-DE7C-46CA-ACDC-624B23F692FA
B    ,SBO                 ,"'F','INO','SPF'", ,EBDFE9D3-D697-47FA-A829-E911DC13C0A4
B    ,SBP                 ,"'SPC','C','F','O'", ,CE9678AD-75F4-4138-98ED-468B59A12D49
B    ,SBT                 ,'G',ina,9E5BC3AA-EEF9-4905-9293-AF94077AE3FD
B    ,SF                  ,"'ST','T','G'",inea,EB633B55-76C0-49DB-804E-955BA8FD94AB
B    ,SG                  ,"'SGP','SP'", ,34496F86-B205-4ABE-91F5-B1E465D736F1
B    ,SGP                 ,'SP', ,5A3DCDAC-61E2-464F-9B25-B41EF42AE61D
B    ,SKING               ,'P', ,FC1F9D3E-7507-4E72-8FAB-4EA9B6E31BA6
B    ,SP                  ,'SSP', ,9F3DFAF0-7685-4EBF-9CAD-A5978C1E89B8
B    ,SPC                 ,"'C','F','O'", ,553DA9E3-249C-4433-9EF2-E44E550E7E6A
B    ,SPF                 ,'F', ,55DF863D-7941-4966-89DF-3E70922DED81
B    ,SPO                 ,"'O','F'", ,BC29FDCD-7EAB-49BE-9566-D3BA8F9A33B1
B    ,SSP                 , , ,15395097-51E2-4EBC-A352-A2758FBEF4E9
B    ,ST                  ,"'T','G'", ,4B8FB051-F8D6-4BC8-86EB-294C28CD8E86
B    ,T                   ,"'SBT','G'",ini,CB66AAF0-8AB2-45E8-A394-097FD98EB78F
V    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,B1FFED20-92EC-4EAB-B458-D2C635F8F19E
V    ,CHRT                ,"'SPO','O','F'", ,487648C8-A10C-4C66-96D6-5C3088D5F9A3
V    ,F                   ,"'SF','G'",idae,FD129F2B-AE24-4809-8531-3638B5025990
V    ,G                   ,"'SG','SGP','SP'", ,140815FB-F65F-42CC-8063-C3D59424A0D1
V    ,HO                  ,'F', ,84568CA0-8AAB-4EF0-BC06-251C6C8ECAC3
V    ,INC                 ,"'CHRT','SPO','O','F'", ,F969F657-067A-4EDA-91A2-5A60A9791A69
V    ,INO                 ,"'F','SPF'", ,34AF6FC2-FB03-49D6-92A7-C0F49B532F2C
V    ,KING                ,"'SKING','P'", ,8A00B338-6C99-48FB-96A6-F4E74EB81FCC
V    ,O                   ,"'F','SBO','SPF'", ,D4FDD517-72F7-4352-8103-651BD9BB23D0
V    ,P                   ,"'SBP','SPC','C','F','O'", ,A0CA67FF-D79C-471E-999A-27520E768AE5
V    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,3D3E32DA-09D1-4F3A-A639-A3514F29F4B0
V    ,SBO                 ,"'F','INO','SPF'", ,311D6322-7A73-4E35-842D-3354E0F0E201
V    ,SBP                 ,"'SPC','C','F','O'", ,C724ED0A-D956-4F40-BEBE-5B80A49D1AAE
V    ,SBT                 ,'G',ina,535FF01F-0A59-4087-8959-9AA9471A17C3
V    ,SF                  ,"'ST','T','G'",inea,5D26F240-B521-4D70-B285-C03FAFE094CF
V    ,SG                  ,"'SGP','SP'", ,910616D0-B274-467A-8448-537C982BDE88
V    ,SGP                 ,'SP', ,25CBA49F-9791-4AD1-9332-CECF55BAA197
V    ,SKING               ,'P', ,3268DC10-80AC-41C2-BCEC-FE4FE24FFB58
V    ,SP                  ,'SSP', ,095724A3-9126-4596-8E41-F6A84BD10525
V    ,SPC                 ,"'C','F','O'", ,DB5F549B-C67B-4599-B680-E8FA10FA92A2
V    ,SPF                 ,'F', ,3BF54AA5-0BBD-4013-AD9E-AE93AE7E4E80
V    ,SPO                 ,"'O','F'", ,E6DF7D35-5BA5-471F-8C42-1C9F47CFA28E
V    ,SSP                 , , ,4C69062E-0954-46F9-8C7C-43DA4FFCA0E0
V    ,ST                  ,"'T','G'", ,D02937BB-A325-4F6B-B9F9-84AE81410020
V    ,T                   ,"'SBT','G'",ini,61BFC37F-3426-45AD-81BC-BB9BC3A95DDA
F    ,SSRS                ,"'SPG','SP'", ,509EE560-8549-435D-951C-3FD50E00F072
F    ,ST                  ,"'T','G'", ,27D97B56-73DF-475B-BE47-A7364CCA95D3
F    ,SV                  ,'FM', ,CA6F6048-CAC7-4609-9F96-3093947311BD
F    ,T                   ,"'SBT','G'", ,E4A7200D-EE1C-4885-B9E9-A0B72B3BC9E8
F    ,V                   ,"'SV','FM'", ,A7AB5072-A052-4D69-8A80-9226130C2FBF
